date,day_of_week,entry_time,entry_hour,direction,fvg_type,entry_price,stop_price,target_price,exit_price,outcome,pnl,fc_bullish,fc_range_pct,fc_body_ratio,fvg_size_pct,risk_pct,max_favorable_r,max_adverse_r,time_in_trade_min,aligned_with_fc,aligned_with_day,day_bullish,day_range_pct,fc_range_bucket,fc_body_bucket
2023-01-03,Tuesday,09:49,9,SHORT,bearish,113.66,114.53,108.87,108.87,WIN,5500.0,False,2.964,0.793,0.148,0.765,5.53,0.72,81,True,True,False,14.381,2-3%,>70%
2023-01-04,Wednesday,12:45,12,LONG,bullish,112.35,112.03,114.11,112.03,LOSS,-1000.0,True,2.071,0.267,0.107,0.285,1.72,1.31,10,True,True,True,6.714,2-3%,<30%
2023-01-05,Thursday,10:17,10,SHORT,bearish,108.22,108.6,106.12,108.6,LOSS,-1000.0,False,2.299,0.524,0.221,0.353,1.23,1.29,9,True,True,False,6.853,2-3%,50-70%
2023-01-06,Friday,09:44,9,LONG,bullish,104.14,103.12,109.75,109.75,WIN,5500.0,True,2.447,0.356,0.272,0.98,5.55,0.57,104,True,True,True,12.248,2-3%,30-50%
2023-01-09,Monday,15:17,15,LONG,bullish,120.14,119.9,121.49,119.9,LOSS,-1000.0,True,2.242,0.011,0.458,0.204,2.72,1.0,24,True,True,True,8.568,2-3%,<30%
2023-01-10,Tuesday,09:51,9,SHORT,bearish,117.86,118.37,115.05,118.37,LOSS,-1000.0,True,2.024,0.439,0.523,0.433,0.98,2.1,2,False,True,False,6.501,2-3%,30-50%
2023-01-11,Wednesday,12:45,12,SHORT,bearish,121.68,121.97,120.09,121.97,LOSS,-1000.0,False,1.638,0.628,0.379,0.238,0.62,1.24,17,True,False,True,6.508,1.5-2%,50-70%
2023-01-12,Thursday,11:25,11,SHORT,bearish,119.22,119.6,117.13,119.6,LOSS,-1000.0,False,2.196,0.811,0.1,0.319,0.97,1.03,4,True,True,False,6.168,2-3%,>70%
2023-01-13,Friday,10:03,10,SHORT,bearish,117.37,118.0,113.91,118.0,LOSS,-1000.0,True,1.703,0.765,0.467,0.537,0.1,1.17,2,False,False,True,6.271,1.5-2%,>70%
2023-01-17,Tuesday,09:52,9,LONG,bullish,127.79,126.51,134.83,131.3,TIMEOUT,2742.19,True,2.05,0.562,0.649,1.002,3.52,0.28,607,True,True,True,9.59,2-3%,50-70%
2023-01-18,Wednesday,10:06,10,LONG,bullish,134.94,134.42,137.83,134.42,LOSS,-1000.0,False,1.675,0.407,0.156,0.389,0.24,1.97,3,False,False,False,8.248,1.5-2%,30-50%
2023-01-19,Thursday,09:47,9,SHORT,bearish,127.75,128.74,122.3,128.74,LOSS,-1000.0,True,1.402,0.344,0.186,0.775,0.48,1.22,9,False,False,True,4.457,1-1.5%,30-50%
2023-01-20,Friday,09:49,9,LONG,bullish,128.96,128.0,134.24,133.3,TIMEOUT,4520.83,False,1.263,0.395,0.141,0.744,4.78,0.31,490,False,True,True,4.833,1-1.5%,30-50%
2023-01-23,Monday,10:00,10,LONG,bullish,139.22,138.32,144.2,138.32,LOSS,-1000.0,False,1.742,0.297,0.135,0.65,0.18,1.18,6,False,True,True,8.882,1.5-2%,<30%
2023-01-24,Tuesday,12:16,12,LONG,bullish,143.81,143.47,145.68,143.47,LOSS,-1000.0,True,1.651,0.11,0.08,0.236,1.24,1.41,19,True,False,False,4.014,1.5-2%,<30%
2023-01-25,Wednesday,11:11,11,LONG,bullish,142.07,141.76,143.78,141.76,LOSS,-1000.0,False,1.424,0.366,0.191,0.218,1.74,1.32,14,False,True,True,10.479,1-1.5%,30-50%
2023-01-26,Thursday,16:15,16,SHORT,bearish,159.84,160.0,158.96,160.0,LOSS,-1000.0,False,2.401,0.469,0.194,0.1,0.25,1.0,3,True,False,True,5.911,2-3%,30-50%
2023-01-27,Friday,09:58,9,LONG,bullish,165.52,164.29,172.29,164.29,LOSS,-1000.0,True,1.741,0.488,0.262,0.743,0.03,1.24,2,True,True,True,14.185,1.5-2%,30-50%
2023-01-30,Monday,10:05,10,LONG,bullish,177.35,176.37,182.75,176.37,LOSS,-1000.0,False,2.512,0.562,0.51,0.553,0.54,1.36,4,False,False,False,7.972,2-3%,50-70%
2023-01-31,Tuesday,10:37,10,LONG,bullish,170.17,169.48,173.96,169.48,LOSS,-1000.0,True,3.974,0.705,0.514,0.405,0.03,1.04,1,True,True,True,6.944,>3%,>70%
2023-02-01,Wednesday,10:06,10,LONG,bullish,173.81,173.21,177.12,173.21,LOSS,-1000.0,False,2.132,0.556,0.795,0.346,0.05,2.04,1,False,True,True,8.608,2-3%,50-70%
2023-02-02,Thursday,09:39,9,LONG,bullish,188.61,187.26,196.02,187.26,LOSS,-1000.0,False,1.541,0.216,0.117,0.714,2.0,1.49,21,False,False,False,7.639,1.5-2%,<30%
2023-02-03,Friday,14:53,14,LONG,bullish,190.66,190.24,192.98,190.24,LOSS,-1000.0,True,3.188,0.933,0.042,0.221,1.21,1.97,3,True,True,True,9.266,>3%,>70%
2023-02-06,Monday,09:53,9,SHORT,bearish,193.62,195.27,184.54,195.27,LOSS,-1000.0,True,2.832,0.665,0.492,0.853,0.11,1.49,1,False,False,True,4.702,2-3%,50-70%
2023-02-07,Tuesday,09:43,9,LONG,bullish,195.99,195.11,200.83,195.11,LOSS,-1000.0,False,1.147,0.609,0.451,0.449,0.26,1.0,2,False,True,True,4.223,1-1.5%,50-70%
2023-02-08,Wednesday,09:57,9,LONG,bullish,200.85,199.28,209.52,199.28,LOSS,-1000.0,False,1.065,0.31,0.458,0.784,0.41,1.02,3,False,True,True,4.429,1-1.5%,30-50%
2023-02-09,Thursday,15:25,15,SHORT,bearish,206.69,207.65,201.41,207.65,LOSS,-1000.0,False,1.252,0.249,0.405,0.464,2.0,1.03,25,True,True,False,6.2,1-1.5%,<30%
2023-02-10,Friday,10:38,10,SHORT,bearish,201.36,202.7,193.99,193.99,WIN,1446.61,True,1.692,0.501,0.556,0.666,5.68,0.21,99,False,True,False,6.718,1.5-2%,50-70%
2023-02-13,Monday,10:21,10,LONG,bullish,191.77,190.66,197.85,190.66,LOSS,-1000.0,False,2.335,0.759,0.707,0.577,0.02,1.06,3,False,True,True,6.112,2-3%,>70%
2023-02-14,Tuesday,10:47,10,LONG,bullish,197.73,196.01,207.2,207.2,WIN,3902.99,True,2.311,0.385,0.542,0.87,5.6,0.13,273,True,True,True,11.54,2-3%,30-50%
2023-02-15,Wednesday,09:51,9,SHORT,bearish,209.47,211.19,199.98,211.19,LOSS,-1000.0,True,1.64,0.236,0.17,0.824,1.94,1.03,28,False,False,True,4.833,1.5-2%,<30%
2023-02-16,Thursday,13:25,13,LONG,bullish,211.05,209.74,218.26,209.74,LOSS,-1000.0,False,1.239,0.13,0.482,0.621,2.25,1.27,99,False,False,False,9.732,1-1.5%,<30%
2023-02-17,Friday,10:08,10,SHORT,bearish,202.85,203.61,198.67,203.61,LOSS,-1000.0,True,2.47,0.872,0.011,0.375,0.43,1.33,3,False,False,True,6.166,2-3%,>70%
2023-02-21,Tuesday,10:52,10,SHORT,bearish,204.25,205.3,198.48,198.48,WIN,5500.0,True,1.52,0.338,0.18,0.514,6.13,0.65,298,False,True,False,6.754,1.5-2%,30-50%
2023-02-22,Wednesday,14:32,14,SHORT,bearish,197.43,198.64,190.77,198.64,LOSS,-1000.0,False,1.411,0.027,0.071,0.613,0.01,1.17,7,True,False,True,5.64,1-1.5%,<30%
2023-02-23,Thursday,09:56,9,SHORT,bearish,202.54,203.78,195.74,200.43,TIMEOUT,1707.51,True,0.96,0.526,0.256,0.611,5.02,0.6,599,False,True,False,4.33,0.5-1%,50-70%
2023-02-24,Friday,12:39,12,SHORT,bearish,195.79,196.31,192.96,196.31,LOSS,-1000.0,True,0.755,0.421,0.076,0.263,3.48,1.2,61,False,True,False,4.306,0.5-1%,30-50%
