date,day_of_week,entry_time,entry_hour,direction,fvg_type,entry_price,stop_price,target_price,exit_price,outcome,pnl,fc_bullish,fc_range_pct,fc_body_ratio,fvg_size_pct,risk_pct,max_favorable_r,max_adverse_r,time_in_trade_min,aligned_with_fc,aligned_with_day,day_bullish,day_range_pct,fc_range_bucket,fc_body_bucket
2021-01-04,Monday,11:21,11,LONG,bullish,733.5,730.25,751.38,730.25,LOSS,-1000.0,True,1.53,0.773,0.193,0.443,1.02,1.27,33,True,True,True,5.006,1.5-2%,>70%
2021-01-05,Tuesday,10:07,10,LONG,bullish,726.82,725.01,736.75,725.01,LOSS,-1000.0,True,1.095,0.089,0.232,0.248,0.43,1.68,4,True,True,True,4.821,1-1.5%,<30%
2021-01-06,Wednesday,16:18,16,LONG,bullish,758.0,757.1,762.95,762.95,WIN,5500.0,False,1.275,0.559,0.016,0.119,5.69,0.72,11,False,True,True,3.655,1-1.5%,50-70%
2021-01-07,Thursday,09:39,9,LONG,bullish,786.44,784.6,796.55,796.55,WIN,5500.0,True,0.616,0.251,0.478,0.234,5.66,0.78,61,True,True,True,8.78,0.5-1%,<30%
2021-01-08,Friday,09:45,9,SHORT,bearish,844.31,848.37,821.98,848.37,LOSS,-1000.0,False,1.488,0.51,0.359,0.481,0.0,1.15,1,True,False,True,5.503,1-1.5%,50-70%
2021-01-11,Monday,09:44,9,SHORT,bearish,833.13,837.86,807.11,837.86,LOSS,-1000.0,False,1.934,0.147,0.252,0.568,3.41,1.29,15,True,True,False,7.719,1.5-2%,<30%
2021-01-12,Tuesday,09:57,9,LONG,bullish,845.09,842.0,862.07,862.07,WIN,5500.0,True,1.875,0.676,0.001,0.365,6.45,0.08,22,True,True,True,5.596,1.5-2%,50-70%
2021-01-13,Wednesday,14:33,14,SHORT,bearish,853.52,855.0,845.37,855.0,LOSS,-1000.0,True,0.989,0.522,0.105,0.174,0.78,1.12,7,False,True,False,3.392,0.5-1%,50-70%
2021-01-14,Thursday,13:33,13,LONG,bullish,846.34,844.0,859.21,844.0,LOSS,-1000.0,False,0.832,0.108,0.032,0.276,3.7,1.26,113,False,True,True,3.017,0.5-1%,<30%
2021-01-15,Friday,10:00,10,SHORT,bearish,851.31,854.99,831.09,831.09,WIN,5500.0,True,1.276,0.222,0.13,0.432,6.07,0.38,268,False,True,False,4.802,1-1.5%,<30%
2021-01-19,Tuesday,09:45,9,LONG,bullish,848.05,844.53,867.41,844.53,LOSS,-1000.0,True,1.142,0.574,0.179,0.415,0.2,1.58,3,True,True,True,2.031,1-1.5%,50-70%
2021-01-20,Wednesday,14:27,14,SHORT,bearish,853.84,854.5,850.18,854.5,LOSS,-1000.0,False,0.797,0.839,0.096,0.078,0.35,1.05,2,True,False,True,2.717,0.5-1%,>70%
2021-01-21,Thursday,11:14,11,LONG,bullish,851.32,848.2,868.48,848.2,LOSS,-1000.0,False,1.314,0.7,0.05,0.366,0.49,1.16,24,False,False,False,2.097,1-1.5%,50-70%
2021-01-22,Friday,12:05,12,SHORT,bearish,836.18,837.55,828.63,837.55,LOSS,-1000.0,True,0.789,0.745,0.065,0.164,0.45,1.17,9,False,False,True,2.305,0.5-1%,>70%
